Country,first_seq,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
China,2019-10-22,2020-06-03,S.Q677,2020-06-21,225,True,0.0529827046539788,18259.460122699387,967.4355828220858,16447.43070611852
USA,2020-03-03,2021-11-19,S.Q677,2020-11-01,626,False,0.0161114652706245,256577.59623403364,4133.841030944974,84748.74587601596
Brazil,2020-03-09,2021-11-12,S.Q677,2020-11-07,613,False,0.0278459909042887,101550.1404656567,2827.7642877359194,42356.90742557735
Australia,2020-03-20,2021-11-14,S.Q677,2020-11-18,604,False,0.0099054054763041,1402.239578652566,13.889751601475552,1227.1224997033116
Sweden,2020-03-20,2021-11-19,S.Q677,2020-11-18,609,False,0.0127109910955763,1659.1487275628378,21.08942470228813,2521.042925065023
Spain,2020-03-20,2021-11-21,S.Q677,2020-11-18,611,False,0.0172831774120818,19008.57607124877,328.5285925904463,9904.841292994292
UK,2020-03-26,2021-11-24,S.Q677,2020-11-24,608,False,0.014431449567554,211650.1024700649,3054.417779764397,219867.19025765377
Germany,2020-03-27,2021-11-18,S.Q677,2020-11-25,601,False,0.0189666817507522,17896.698205041368,339.4409792442789,9198.31885728653
Mexico,2020-03-28,2021-11-08,S.Q677,2020-11-26,590,False,0.0757120988735717,9926.348815944166,751.5447030063261,6918.615103034291
Canada,2020-04-01,2021-10-29,S.Q677,2020-11-30,576,False,0.016910965945661,124014.1950953017,2097.199830035207,55028.403974741086
India,2020-04-06,2021-11-03,S.Q677,2020-12-05,576,False,0.0133927235564788,298414.5211613345,3996.583187152765,70730.5169870757
Indonesia,2020-04-09,2021-10-24,S.Q677,2020-12-08,563,False,0.0337746128024426,22748.49491319532,768.3216075315078,7860.357773219762
Romania,2020-04-11,2021-11-03,S.Q677,2020-12-10,571,False,0.0292997703862033,2942.507460304795,86.21479294662092,2836.0329685901697
Madagascar,2020-04-13,2021-03-29,S.Q677,2020-12-12,350,False,0.016437898952814,253.25735849056605,4.163018867924528,68.3723470973471
Japan,2020-04-17,2021-10-14,S.Q677,2020-12-16,545,False,0.0105144276329316,2629.212282618324,27.64466227720531,2828.143835266757
Italy,2020-04-21,2021-11-22,S.Q677,2020-12-20,580,False,0.0270163303961747,31877.40242278319,861.2104360257326,10459.678240257766
Egypt,2020-04-26,2021-09-04,S.Q677,2020-12-25,496,False,0.0579113792960605,121972.2105263158,7063.578947368421,581.945943930196
Austria,2020-04-26,2021-11-05,S.Q677,2020-12-25,558,False,0.0132321843330752,7227.0650404586095,95.62985680247236,1711.225639033385
Qatar,2020-05-08,2021-09-15,S.Q677,2021-01-06,495,False,0.0025696222995566,1740.2032575043747,4.471665096244448,364.1720005762826
